property_name,property_area_or_psf,property_total_price
Balestier Road,"2,600 sqft / $2.69 psf(Built)","$7,000"
Little India Conservation Area,350 sqft / $7.14 psf(Built),"$2,500"
New Bridge Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
Braddell Heights Estate,"1,450 sqft / $4.48 psf(Built)","$6,500"
Sultan plaza,215 sqft / $9.30 psf(Built),"$2,000"
Mosque Street,"1,717 sqft / $11.65 psf(Built)","$20,000"
Boat Quay Conservation Area,"1,535 sqft / $5.86 psf(Built)","$9,000"
Cuppage Plaza,312 sqft / $8.97 psf(Built),"$2,800"
Amoy Street,"1,200 sqft / $10.00 psf(Built)","$12,000"
Amoy Street,"1,200 sqft / $10.00 psf(Built)","$12,000"
Serangoon Road,"1,400 sqft / $5.71 psf(Built)","$8,000"
One Raffles Place,484 sqft / $36.00 psf(Built),"$17,424"
